,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
355,355,23,male,1,own,little,moderate,1246,24,car,bad
254,254,24,male,2,own,,moderate,2030,9,furniture/equipment,good
209,209,55,male,2,own,rich,,1413,12,car,good
452,452,34,male,2,own,little,,2759,12,furniture/equipment,good
547,547,32,male,2,own,little,,1552,24,radio/TV,good
719,719,31,male,2,own,moderate,moderate,6148,20,car,good
253,253,35,male,2,own,moderate,,4151,24,furniture/equipment,good
85,85,29,female,3,own,little,,1412,12,business,good
625,625,35,male,2,own,,,1979,15,radio/TV,good
316,316,38,male,1,own,little,little,708,12,furniture/equipment,good
682,682,33,male,2,own,little,,1478,15,radio/TV,good
792,792,27,male,2,own,,,1221,6,furniture/equipment,good
429,429,55,female,0,free,little,little,1190,18,repairs,bad
799,799,35,male,0,own,,moderate,1549,9,car,good
136,136,27,male,2,own,rich,,8613,27,car,good
925,925,46,male,2,own,little,little,697,12,car,bad
426,426,29,male,2,own,little,,2743,28,radio/TV,good
637,637,21,male,2,own,little,,15653,60,radio/TV,good
784,784,60,male,3,own,,moderate,6468,20,car,good
307,307,33,male,1,own,moderate,little,727,12,radio/TV,bad
816,816,62,male,2,own,quite rich,,1338,6,domestic appliances,good
890,890,43,male,3,own,little,little,2442,27,business,good
915,915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
436,436,23,male,1,rent,quite rich,,660,6,repairs,good
339,339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
102,102,24,female,2,own,little,,932,6,radio/TV,good
916,916,32,male,2,own,moderate,,2848,10,car,good
205,205,38,male,3,free,little,little,10623,30,car,good
537,537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good
771,771,25,female,3,own,little,little,8065,36,education,bad
344,344,37,male,1,own,little,rich,3949,10,car,good
79,79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
597,597,36,male,1,own,little,moderate,4241,24,business,bad
797,797,22,female,1,rent,little,,1258,12,furniture/equipment,good
948,948,43,male,1,own,little,,1533,18,furniture/equipment,bad
224,224,30,male,2,own,little,,4657,15,car,good
857,857,28,male,2,free,little,,3343,15,furniture/equipment,good
990,990,37,male,1,own,,,3565,12,education,good
773,773,52,male,2,own,moderate,,2223,24,radio/TV,good
808,808,55,male,3,free,little,moderate,9283,42,car,good
227,227,53,male,3,free,little,little,7865,12,furniture/equipment,bad
416,416,33,male,1,own,little,little,2579,12,car,bad
517,517,23,female,2,rent,little,,7127,36,furniture/equipment,bad
237,237,61,male,1,rent,moderate,moderate,2767,21,business,bad
379,379,52,female,1,own,moderate,,362,6,car,good
350,350,23,female,2,rent,little,,1236,9,domestic appliances,good
660,660,23,male,2,rent,little,rich,1297,12,radio/TV,good
856,856,40,female,2,own,,,894,10,education,good
592,592,36,female,1,own,rich,,1572,21,business,good
107,107,32,male,2,own,little,moderate,6078,12,car,good
402,402,27,male,2,own,little,,8648,24,business,bad
796,796,51,male,2,free,,little,7511,18,car,bad
76,76,34,male,2,own,little,little,3965,42,radio/TV,bad
622,622,38,male,2,own,,,3914,48,business,bad
722,722,24,female,1,own,little,little,1228,12,car,bad
264,264,32,male,1,own,little,,1231,10,car,good
149,149,46,male,2,own,rich,,1582,18,radio/TV,good
671,671,31,male,2,own,moderate,,5742,36,business,good
697,697,38,female,0,own,little,,926,12,car,good
93,93,20,male,2,rent,,rich,3617,24,furniture/equipment,good
428,428,20,male,2,own,little,,1313,9,furniture/equipment,good
726,726,47,male,1,own,quite rich,,1316,15,radio/TV,good
858,858,29,female,2,own,little,little,3959,15,car,bad
3,3,45,male,2,free,little,little,7882,42,furniture/equipment,good
329,329,28,male,2,own,little,moderate,1068,6,radio/TV,good
210,210,33,male,2,own,,,3074,9,radio/TV,good
872,872,26,male,2,own,moderate,little,1382,24,business,good
309,309,22,male,1,rent,little,moderate,276,9,car,good
120,120,25,female,2,own,little,little,1835,21,radio/TV,bad
976,976,64,female,2,own,little,moderate,753,6,radio/TV,good
171,171,26,female,2,own,little,,763,12,furniture/equipment,good
328,328,31,male,2,own,little,rich,4473,36,radio/TV,good
387,387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
811,811,28,male,1,own,little,moderate,484,6,radio/TV,good
148,148,28,male,2,own,little,little,5371,36,furniture/equipment,good
492,492,27,female,2,own,moderate,,1237,6,radio/TV,good
246,246,52,male,2,own,little,,717,12,radio/TV,good
414,414,35,female,2,own,,little,1381,24,car,bad
582,582,26,female,2,rent,little,,1388,9,furniture/equipment,good
420,420,20,female,2,rent,rich,,3186,15,car,good
960,960,30,male,2,rent,little,,1740,6,radio/TV,good
68,68,37,male,2,free,little,,1819,36,education,bad
334,334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
57,57,31,female,2,own,little,,9566,36,radio/TV,good
158,158,38,male,2,own,moderate,moderate,3512,24,car,good
232,232,35,male,2,own,moderate,,2141,12,radio/TV,good
240,240,29,female,2,own,,little,915,24,car,bad
94,94,54,male,2,own,rich,moderate,1318,12,car,good
758,758,31,male,2,own,little,,1393,24,car,good
632,632,23,male,2,own,,moderate,1444,15,radio/TV,good
117,117,27,female,2,rent,,little,2132,10,furniture/equipment,good
763,763,30,male,3,free,,,12680,21,car,bad
776,776,37,male,2,own,little,,3535,36,car,good
928,928,58,male,2,own,,,1867,30,radio/TV,good
233,233,25,male,1,own,little,moderate,866,18,radio/TV,good
364,364,25,male,0,own,little,little,2473,18,furniture/equipment,bad
51,51,30,male,3,own,little,moderate,5965,27,car,good
221,221,23,female,2,rent,,little,1200,12,education,good
285,285,35,female,1,own,little,little,10722,47,car,good
129,129,29,female,2,own,little,little,3499,12,car,bad
642,642,40,male,3,own,moderate,,4623,15,education,bad
478,478,39,male,1,own,moderate,moderate,1037,12,business,good
888,888,34,male,3,own,little,,6614,36,car,good
974,974,33,female,2,own,little,,2831,30,radio/TV,good
927,927,39,male,2,free,little,little,10297,48,car,bad
750,750,49,female,2,own,little,little,428,6,furniture/equipment,good
793,793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
462,462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
189,189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
289,289,48,male,2,own,little,little,1024,24,radio/TV,bad
196,196,28,female,2,own,little,,1382,6,radio/TV,good
604,604,23,female,2,own,little,rich,1275,10,furniture/equipment,good
458,458,27,female,2,own,little,little,343,6,domestic appliances,good
979,979,25,male,2,rent,moderate,moderate,1264,15,car,bad
105,105,39,male,3,own,little,moderate,11938,24,vacation/others,bad
587,587,21,male,1,own,little,little,1289,12,furniture/equipment,good
502,502,49,male,2,own,moderate,rich,1126,9,radio/TV,good
37,37,37,male,2,own,little,rich,2100,18,radio/TV,bad
0,0,67,male,2,own,,little,1169,6,radio/TV,good
760,760,59,female,2,own,,,5045,15,car,good
332,332,24,female,3,own,moderate,moderate,7408,60,car,bad
926,926,21,female,2,rent,little,little,1049,18,furniture/equipment,good
602,602,34,female,1,free,little,moderate,1837,24,education,bad
115,115,47,male,2,own,,,3578,48,radio/TV,good
494,494,39,male,1,rent,little,little,2122,12,car,good
703,703,41,male,2,own,moderate,moderate,2503,30,business,good
404,404,43,male,2,own,,moderate,2899,18,car,good
97,97,34,male,2,own,moderate,moderate,2622,18,business,good
483,483,30,female,2,own,rich,,960,15,furniture/equipment,good
880,880,38,male,3,own,little,,7814,24,car,good
317,317,48,female,1,own,,moderate,4351,24,furniture/equipment,good
905,905,20,male,3,rent,little,little,1107,12,radio/TV,good
765,765,40,male,1,own,little,moderate,1155,12,radio/TV,good
89,89,28,male,2,own,little,little,1108,12,repairs,bad
530,530,32,male,2,own,little,moderate,2273,36,education,good
885,885,53,female,2,own,little,little,795,12,education,bad
675,675,26,female,3,rent,little,,4530,30,radio/TV,good
354,354,46,male,2,free,quite rich,,727,10,education,good
58,58,23,female,3,own,little,rich,1961,18,car,good
243,243,27,female,2,own,little,,1185,12,business,good
849,849,57,male,1,own,little,little,709,12,radio/TV,bad
216,216,31,male,2,own,little,little,3104,18,business,good
167,167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
505,505,27,male,1,own,,,1309,10,car,bad
894,894,29,male,2,own,,,1169,18,radio/TV,good
728,728,59,female,2,rent,little,moderate,6416,48,business,bad
313,313,25,male,1,own,little,moderate,685,12,car,bad
497,497,40,male,2,own,little,,1585,24,furniture/equipment,good
707,707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
519,519,36,male,2,free,,,700,6,radio/TV,good
576,576,27,female,2,own,little,moderate,2930,12,radio/TV,good
369,369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
54,54,57,male,2,free,little,moderate,2225,36,car,bad
618,618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
571,571,38,male,2,own,little,,5954,30,radio/TV,good
460,460,37,male,2,own,little,little,3620,36,furniture/equipment,good
778,778,38,male,3,own,rich,,5711,36,car,good
919,919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
513,513,20,male,2,rent,little,moderate,585,12,radio/TV,good
742,742,41,male,2,own,,,3160,21,radio/TV,good
41,41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
912,912,25,female,2,own,,moderate,2991,30,radio/TV,good
801,801,48,female,1,rent,little,moderate,1795,18,radio/TV,good
780,780,25,male,2,own,little,moderate,4933,39,radio/TV,bad
757,757,39,male,2,free,,rich,1271,15,radio/TV,bad
484,484,44,male,2,own,quite rich,,1163,12,car,good
574,574,27,male,1,own,little,moderate,1082,9,radio/TV,good
589,589,60,male,2,own,little,little,2246,12,furniture/equipment,bad
346,346,23,male,2,own,little,moderate,882,13,radio/TV,good
939,939,46,male,3,own,,,6842,24,car,good
507,507,34,male,3,own,moderate,moderate,6850,15,car,bad
640,640,27,female,0,own,little,little,750,18,education,bad
351,351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
650,650,50,male,3,free,little,little,7476,48,education,good
132,132,27,male,1,own,little,,2708,15,furniture/equipment,good
144,144,23,female,2,own,little,,2288,21,furniture/equipment,good
242,242,24,male,2,free,little,little,4605,48,car,bad
20,20,48,male,2,own,little,,2134,9,car,good
466,466,29,female,1,rent,little,little,1659,24,radio/TV,bad
716,716,40,male,2,own,,,3077,30,radio/TV,good
183,183,50,male,2,own,rich,,3777,24,furniture/equipment,good
522,522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
160,160,36,male,2,own,moderate,,2872,24,radio/TV,good
178,178,31,male,3,rent,little,,1963,12,radio/TV,good
996,996,40,male,3,own,little,little,3857,30,car,good
304,304,44,male,2,free,quite rich,,10127,48,car,bad
213,213,66,male,3,own,little,rich,1908,30,business,bad
525,525,30,male,2,own,little,moderate,7966,26,car,good
336,336,23,female,1,own,little,moderate,2101,13,radio/TV,good
86,86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
433,433,33,male,2,own,little,,2058,24,repairs,good
917,917,68,male,3,own,little,little,14896,6,car,bad
130,130,24,female,2,own,,moderate,8487,48,car,good
28,28,34,male,2,own,little,moderate,2415,7,radio/TV,good
583,583,33,male,1,rent,little,moderate,2384,36,repairs,bad
437,437,37,female,2,own,rich,,1287,24,car,good
78,78,39,male,1,own,,,9436,54,car,good
613,613,22,female,2,rent,little,little,3632,24,car,good
18,18,44,female,3,free,little,moderate,12579,24,car,bad
403,403,27,male,1,own,little,,802,14,car,good
9,9,28,male,3,own,little,moderate,5234,30,car,bad
992,992,23,male,1,rent,,little,1936,18,radio/TV,good
794,794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,good
197,197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
756,756,74,male,0,own,little,rich,1299,6,car,good
259,259,57,female,1,own,moderate,,1154,11,radio/TV,good
663,663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good
343,343,33,male,3,own,little,moderate,4439,18,business,good
520,520,44,male,2,free,little,,5507,24,repairs,good
465,465,63,male,2,own,little,little,2924,24,car,good
427,427,46,male,2,own,rich,,1149,18,radio/TV,good
521,521,24,female,2,own,little,little,3190,18,radio/TV,bad
545,545,43,male,2,free,little,little,1333,24,car,bad
306,306,24,female,1,rent,,,4811,30,car,good
595,595,32,female,1,own,moderate,moderate,931,6,car,bad
933,933,42,male,2,own,quite rich,,522,12,radio/TV,good
473,473,36,male,3,own,,,1238,6,education,good
49,49,28,female,2,own,moderate,,2073,12,radio/TV,good
359,359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
161,161,30,female,2,own,little,,1055,18,car,good
886,886,34,male,2,own,,moderate,2825,24,business,good
855,855,33,male,2,own,moderate,,1474,24,car,good
101,101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
380,380,39,male,2,own,,little,2212,20,furniture/equipment,good
686,686,27,male,2,own,,rich,1347,10,radio/TV,good
292,292,44,female,3,free,little,little,6419,24,car,good
882,882,36,male,2,own,,moderate,2181,30,car,good
469,469,35,male,1,own,little,,4679,24,car,good
493,493,38,male,2,own,,moderate,368,6,radio/TV,good
541,541,60,male,2,free,little,,2032,24,car,good
628,628,36,male,2,own,quite rich,,4042,42,furniture/equipment,good
191,191,34,male,1,free,moderate,moderate,3844,48,business,bad
665,665,27,male,3,own,little,,6314,24,vacation/others,good
177,177,52,male,2,own,quite rich,little,338,6,radio/TV,good
945,945,30,female,2,own,quite rich,moderate,8358,48,car,good
781,781,60,male,2,own,rich,,1940,24,car,good
891,891,46,male,2,own,little,,1829,15,radio/TV,good
934,934,23,female,2,own,little,little,1498,12,radio/TV,good
908,908,46,female,1,own,little,,3594,15,car,good
641,641,38,male,1,own,little,moderate,1308,15,repairs,good
900,900,43,male,2,rent,little,little,2625,16,car,bad
349,349,32,male,2,free,rich,moderate,1136,9,education,bad
626,626,41,male,2,own,little,rich,2116,6,furniture/equipment,good
83,83,58,female,1,own,little,little,1755,24,vacation/others,good
906,906,24,male,1,own,,little,3763,21,car,good
303,303,49,male,2,own,little,little,1038,10,car,good
787,787,38,male,2,own,,,2751,48,car,good
795,795,22,female,2,rent,moderate,,2301,9,furniture/equipment,good
717,717,32,male,3,free,little,,1505,18,radio/TV,good
109,109,35,male,2,own,quite rich,moderate,1410,14,business,good
982,982,28,female,3,own,moderate,rich,2923,21,car,good
124,124,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad
564,564,37,male,3,own,,moderate,4712,24,business,good
821,821,24,male,2,own,little,rich,3016,12,radio/TV,good
600,600,45,female,2,own,little,moderate,2329,7,radio/TV,good
819,819,26,male,2,own,little,little,1345,18,radio/TV,bad
266,266,36,male,2,own,,,6304,36,business,good
45,45,35,female,3,own,little,,1393,11,car,good
448,448,55,female,3,own,,rich,1424,12,furniture/equipment,good
32,32,30,male,2,own,moderate,moderate,5866,18,car,good
988,988,29,male,3,free,little,little,6579,24,car,good
419,419,33,female,2,own,,moderate,1042,18,car,bad
388,388,27,male,2,own,quite rich,moderate,2326,15,business,good
113,113,25,female,2,own,little,,7855,36,car,bad
739,739,26,female,1,rent,moderate,moderate,4280,30,business,bad
957,957,37,male,1,own,little,moderate,1154,9,radio/TV,good
39,39,24,male,2,own,little,moderate,458,9,radio/TV,good
744,744,30,male,3,own,,little,14179,39,furniture/equipment,good
174,174,26,male,2,own,little,little,3414,21,education,bad
434,434,25,male,2,own,little,little,2136,9,furniture/equipment,good
601,601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
142,142,27,male,3,own,little,little,3416,27,radio/TV,good
62,62,61,male,3,free,little,moderate,1953,36,business,bad
135,135,38,female,2,own,,,1240,12,radio/TV,good
731,731,21,male,1,rent,little,little,1987,24,radio/TV,bad
899,899,42,male,2,own,little,little,4153,18,furniture/equipment,bad
512,512,26,male,2,rent,little,rich,2687,15,business,good
702,702,47,female,2,free,moderate,rich,1377,24,radio/TV,good
408,408,26,male,3,own,quite rich,,3235,24,radio/TV,good
881,881,48,male,2,free,,,9277,24,car,good
501,501,42,male,2,free,little,little,5493,36,car,good
953,953,26,female,3,own,little,,10974,36,furniture/equipment,bad
753,753,25,female,2,own,little,,5771,30,radio/TV,good
534,534,25,male,2,own,,,3105,24,radio/TV,good
283,283,63,male,2,own,,,1520,15,furniture/equipment,good
281,281,50,male,2,own,little,,1574,12,furniture/equipment,good
353,353,28,male,2,rent,little,little,6199,12,radio/TV,bad
126,126,40,male,1,own,little,little,701,12,radio/TV,good
298,298,43,male,2,own,little,,2515,18,furniture/equipment,good
288,288,49,female,2,own,little,moderate,1092,12,radio/TV,good
226,226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
761,761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
393,393,31,female,2,own,little,little,1957,6,radio/TV,good
203,203,21,male,2,rent,little,little,902,12,education,bad
249,249,22,female,2,rent,little,,433,18,radio/TV,bad
701,701,46,male,2,free,little,little,6331,48,car,bad
74,74,40,male,3,own,,little,1977,36,education,bad
710,710,32,male,3,own,quite rich,,629,18,radio/TV,good
503,503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
17,17,25,male,2,own,,little,8072,30,business,good
182,182,40,male,1,own,,little,1647,21,car,bad
358,358,28,male,2,own,little,,776,12,radio/TV,good
664,664,50,female,1,own,little,rich,1047,6,education,good
614,614,22,female,2,own,little,,1808,18,furniture/equipment,bad
775,775,25,female,2,rent,,little,1371,24,car,bad
997,997,38,male,2,own,little,,804,12,radio/TV,good
645,645,27,male,2,rent,,,7980,36,business,bad
423,423,34,male,3,own,moderate,,1591,21,furniture/equipment,good
658,658,28,female,2,own,little,moderate,4221,30,business,good
487,487,62,female,2,free,little,,3757,24,car,good
766,766,31,male,1,own,little,little,3108,30,furniture/equipment,bad
786,786,40,male,2,own,quite rich,,2675,22,radio/TV,good
708,708,25,female,2,own,little,moderate,1206,9,radio/TV,good
187,187,68,male,0,free,little,moderate,1175,16,car,good
204,204,38,male,1,own,little,,1495,12,car,good
909,909,33,female,1,own,,moderate,3195,9,car,good
774,774,66,male,0,free,quite rich,rich,1480,12,car,good
140,140,27,male,0,own,rich,rich,709,6,car,good
526,526,31,female,2,own,moderate,,1532,15,education,good
655,655,22,male,2,free,little,little,3973,14,car,good
617,617,37,male,2,rent,little,little,3676,6,car,good
684,684,31,male,1,own,moderate,moderate,9857,36,business,good
499,499,28,male,2,own,moderate,rich,1323,6,car,good
267,267,38,female,2,own,little,,1533,24,radio/TV,good
398,398,46,male,2,rent,little,moderate,1223,12,car,bad
485,485,47,male,3,own,little,moderate,1209,6,car,bad
679,679,26,female,2,own,little,,1453,18,radio/TV,good
830,830,44,male,2,own,quite rich,,2375,24,business,good
901,901,44,male,2,own,,,3485,20,car,good
734,734,37,female,2,own,little,,3380,4,car,good
725,725,41,female,1,own,rich,,250,6,car,good
258,258,23,female,2,own,moderate,,3812,15,car,good
846,846,68,male,2,rent,,,6761,18,car,bad
392,392,39,male,3,free,little,little,3249,36,car,good
137,137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
767,767,31,female,2,rent,,,2901,10,car,good
867,867,42,male,2,own,little,,3331,12,furniture/equipment,good
986,986,33,male,2,own,little,rich,6289,42,business,good
118,118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
565,565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
693,693,44,male,1,own,,little,4716,6,car,good
270,270,32,male,2,own,,,2662,18,car,good
581,581,49,male,1,own,little,moderate,3124,12,car,good
652,652,45,male,2,own,little,little,2303,24,car,bad
318,318,32,male,2,own,little,,701,12,education,good
789,789,27,male,2,own,little,little,5998,40,education,bad
163,163,70,male,3,free,little,moderate,7308,10,car,good
575,575,24,female,2,own,little,,2788,15,furniture/equipment,good
173,173,33,male,2,own,little,moderate,1414,8,radio/TV,good
621,621,32,male,2,own,little,,1530,18,car,bad
230,230,26,male,2,own,little,rich,4210,36,radio/TV,bad
594,594,40,male,3,own,,little,1358,24,vacation/others,bad
143,143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
407,407,27,male,2,own,little,little,1053,15,radio/TV,good
827,827,36,male,2,own,little,,4165,18,business,bad
932,932,30,male,2,own,little,,1224,9,car,good
515,515,37,female,2,own,little,little,609,6,car,good
930,930,24,male,1,own,little,little,1747,24,furniture/equipment,good
482,482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
81,81,47,male,2,own,quite rich,,1213,15,radio/TV,good
842,842,23,female,2,own,little,,1943,18,repairs,bad
605,605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
277,277,49,male,1,own,,little,1262,12,furniture/equipment,good
629,629,64,male,1,own,,,3832,9,education,good
713,713,25,male,1,own,little,little,1138,9,radio/TV,good
936,936,28,female,1,own,little,rich,745,9,radio/TV,bad
362,362,36,female,2,own,little,rich,2247,12,car,good
851,851,43,male,2,own,,,4042,24,car,good
223,223,32,male,2,own,,,2978,24,business,good
764,764,27,male,2,own,moderate,,2463,24,car,good
938,938,42,male,2,free,little,moderate,6288,60,education,bad
956,956,49,male,1,own,,rich,3656,30,radio/TV,good
751,751,23,female,1,own,little,little,976,18,car,bad
111,111,23,female,2,rent,little,rich,392,15,education,good
958,958,45,male,1,own,little,little,4006,28,car,bad
95,95,58,male,2,rent,little,moderate,15945,54,business,bad
21,21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
335,335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
527,527,42,male,1,own,little,,1503,4,radio/TV,good
278,278,32,female,2,own,little,,4611,6,furniture/equipment,bad
5,5,35,male,1,free,,,9055,36,education,good
817,817,24,female,2,rent,little,,1554,6,radio/TV,good
861,861,28,male,2,own,little,,2169,18,business,bad
685,685,34,male,2,free,,,6527,60,car,good
833,833,42,female,2,own,,moderate,5084,24,radio/TV,good
737,737,35,male,1,own,moderate,little,4380,18,car,good
384,384,26,male,1,own,moderate,,4272,30,business,good
535,535,33,male,2,rent,little,rich,2319,21,education,bad
610,610,22,female,2,own,moderate,little,741,12,domestic appliances,bad
573,573,22,female,1,own,little,little,806,15,business,good
558,558,27,male,2,own,little,little,3552,24,furniture/equipment,bad
35,35,25,male,1,own,little,moderate,4746,45,radio/TV,bad
451,451,29,female,2,own,little,,518,6,radio/TV,good
688,688,35,male,2,own,moderate,,2753,9,radio/TV,good
616,616,27,male,3,free,,moderate,9157,60,radio/TV,good
11,11,24,female,2,rent,little,little,4308,48,business,bad
218,218,24,male,1,rent,little,little,3021,24,furniture/equipment,good
438,438,65,male,0,own,little,little,3394,42,repairs,good
342,342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
268,268,45,male,3,own,little,little,8978,14,car,bad
13,13,60,male,1,own,little,little,1199,24,car,bad
181,181,30,male,3,own,little,moderate,4455,36,business,bad
553,553,27,male,2,own,moderate,moderate,1995,12,car,good
822,822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
568,568,41,male,2,own,,moderate,3979,48,radio/TV,good
824,824,35,male,3,own,little,,3780,18,furniture/equipment,good
965,965,26,female,2,own,,moderate,1715,30,radio/TV,good
457,457,35,male,2,free,little,little,3386,12,car,bad
38,38,37,male,2,own,little,rich,1225,10,domestic appliances,good
639,639,26,male,2,own,little,little,4370,42,radio/TV,bad
847,847,28,male,2,own,little,,1249,24,car,good
236,236,23,male,0,own,,moderate,14555,6,car,bad
279,279,29,male,3,rent,moderate,,1901,24,radio/TV,good
569,569,31,female,2,own,little,little,6758,48,radio/TV,bad
2,2,49,male,1,own,little,,2096,12,education,good
372,372,23,female,2,rent,little,,2146,10,furniture/equipment,good
644,644,32,male,3,own,little,little,1880,18,radio/TV,good
272,272,36,male,3,free,,moderate,12169,48,car,good
30,30,36,male,2,own,rich,moderate,1913,18,business,good
805,805,24,male,2,own,little,little,9271,36,car,bad
234,234,42,male,1,own,little,,1544,4,radio/TV,good
498,498,32,male,1,own,little,moderate,1301,18,radio/TV,good
345,345,43,female,1,own,little,,1459,15,radio/TV,good
745,745,28,male,1,own,little,little,1797,13,business,good
508,508,28,male,2,own,little,,1413,24,radio/TV,good
326,326,49,male,2,rent,,,5801,12,furniture/equipment,good
201,201,27,male,1,own,little,little,1168,12,car,good
578,578,27,male,2,own,little,moderate,2820,36,car,bad
239,239,39,male,2,own,little,little,2522,30,radio/TV,good
648,648,38,male,2,free,little,rich,947,24,car,bad
185,185,31,male,2,own,little,,1360,15,radio/TV,good
813,813,54,male,2,own,little,little,3051,48,domestic appliances,bad
733,733,28,female,2,rent,rich,,2603,24,car,good
322,322,34,male,3,free,little,little,2910,24,car,good
251,251,46,female,1,own,little,rich,2251,12,furniture/equipment,good
740,740,32,male,2,own,moderate,little,2325,24,car,good
980,980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
612,612,29,female,2,own,rich,little,3357,21,radio/TV,good
669,669,47,male,2,own,little,rich,3017,30,radio/TV,good
887,887,23,male,2,own,little,moderate,15672,48,business,bad
552,552,34,male,2,own,little,little,6999,48,radio/TV,bad
593,593,20,female,1,rent,little,moderate,2718,24,car,bad
